"Rural/Urban:- 1=Rural, 2=Urban",,,,,,,,,,,
"School Category : - Primary (1), Primary with Upper Primary (2), Primary with Upper primary and secondary/higher secondary (3), Upper primary only (4), Upper primary with secondary/higher secondary (5)",,,,,,,,,,,
,,,,,,,,,,,
"Management :- Department of Education (1), Tribal/Social Welfare Department (2), Local Body (3), Pvt. Aided (4), Pvt. Unaided (5), Others (6)",,,,,,,,,,,
,,,,,,,,,,,
School Code,State Name,District Name,Block Name,Village Name,School Name,Rural/Urban,School Category,School Management,Total Enrolment,Total Classroom,Student Classroom Ratio
28014701501,Andhra Pradesh                     ,ADILABAD,BEJJUR,KONDAPALLE,1947023 - M.P.Primary School,1,1,3,49,1,49
28014701502,Andhra Pradesh                     ,ADILABAD,BEJJUR,KONDAPALLE,1947312 - M P UPPER PRIMARY SCHOOL,1,2,3,196,4,49
28014703101,Andhra Pradesh                     ,ADILABAD,BEJJUR,KUSHNEPALLE,1947035 - M.P.Primary School,1,1,3,49,1,49
28014703103,Andhra Pradesh                     ,ADILABAD,BEJJUR,KUSHNEPALLE,1947315 - M.P. U   PRIMARY SCHOOL,1,2,3,170,4,43
28014701801,Andhra Pradesh                     ,ADILABAD,BEJJUR,LODPALLE,1947319 - M.P.U.Primary School,1,2,3,145,1,145
28014701301,Andhra Pradesh                     ,ADILABAD,BEJJUR,MARTHADI,1947015 - M.P.Primary School,1,1,3,163,4,41
28014700301,Andhra Pradesh                     ,ADILABAD,BEJJUR,MUNJAMPALLE,1947006 - M.P.Primary School,1,1,3,94,2,47
28014700302,Andhra Pradesh                     ,ADILABAD,BEJJUR,MUNJAMPALLE,1947061 - GOVT.TRIBAL PRIMARY SCHOO,1,1,2,60,1,60
28014700303,Andhra Pradesh                     ,ADILABAD,BEJJUR,MUNJAMPALLE,1947065 - GOVT.TRIBAL PRIMARY SCHOO,1,1,2,96,2,48
28014704201,Andhra Pradesh                     ,ADILABAD,BEJJUR,MURALIGUDA,1947055 - M.P.Primary School,1,1,3,63,1,63
28014701406,Andhra Pradesh                     ,ADILABAD,BEJJUR,OUTSARANGIPALLE,1947073 - GOVT.TRIBAL PRIMARY SCHOO,1,1,2,81,2,41
28014701407,Andhra Pradesh                     ,ADILABAD,BEJJUR,OUTSARANGIPALLE,1947074 - GOVT.TRIBAL PRIMARY SCHOO,1,1,2,41,1,41
28014703501,Andhra Pradesh                     ,ADILABAD,BEJJUR,PENCHIKALPET,1947049 - M.P.Primary School,1,1,3,89,1,89
28014701201,Andhra Pradesh                     ,ADILABAD,BEJJUR,POTHEPALLE,1947014 - M.P.Primary School,1,1,3,123,3,41
28014700101,Andhra Pradesh                     ,ADILABAD,BEJJUR,REBBENA,1947002 - M.P.Primary School,1,1,3,96,1,96
28014700103,Andhra Pradesh                     ,ADILABAD,BEJJUR,REBBENA,1947004 - M.P.Primary School,1,1,3,93,2,47
28014700202,Andhra Pradesh                     ,ADILABAD,BEJJUR,RUDRAPUR,1947060 - M.P.Primary School,1,1,3,95,1,95
28014700203,Andhra Pradesh                     ,ADILABAD,BEJJUR,RUDRAPUR,1947301 - M.P.U.P.School,1,2,3,227,1,227
28014700901,Andhra Pradesh                     ,ADILABAD,BEJJUR,SHIVAPALLE,1947010 - M.P.Primary School,1,1,3,49,1,49
28014702905,Andhra Pradesh                     ,ADILABAD,BEJJUR,SOMINI,1947314 - GOVT AUPS SOMINI,1,2,2,207,4,52
28014704001,Andhra Pradesh                     ,ADILABAD,BEJJUR,TALAI,1947054 - M.P.Primary School,1,1,3,43,1,43
28014701702,Andhra Pradesh                     ,ADILABAD,BEJJUR,YELKAPALLE,1947027 - M.P.Primary School,1,1,3,102,2,51
28014701901,Andhra Pradesh                     ,ADILABAD,BEJJUR,YELLUR,1947029 - M.P.Primary School,1,1,3,136,2,68
28010501709,Andhra Pradesh                     ,ADILABAD,BELA,BELA,1905316 - M.P. U.P. SCHOOL,1,2,3,53,1,53
28010503301,Andhra Pradesh                     ,ADILABAD,BELA,CHAPRALA,1905021 - M.P.Primary School,1,1,3,90,1,90
28010504602,Andhra Pradesh                     ,ADILABAD,BELA,DOUNA,1905066 - GOVT. TRIBAL PRIMARY SCHO,1,1,2,42,1,42
28010503902,Andhra Pradesh                     ,ADILABAD,BELA,KARONI (K),1905055 - GOVT. TRIBAL PRIMARY SCHO,1,1,2,45,1,45
28010500801,Andhra Pradesh                     ,ADILABAD,BELA,MANGROOL,1905005 - M.P.Primary School,1,1,3,47,1,47
28010500802,Andhra Pradesh                     ,ADILABAD,BELA,MANGROOL,1905040 - GOVT. TRIBAL PRIMARY SCHO,1,1,2,41,1,41
28010504704,Andhra Pradesh                     ,ADILABAD,BELA,SANGVI,1905069 - GOVT. TRIBAL PRIMARY SCHO,1,1,2,41,1,41
28010503501,Andhra Pradesh                     ,ADILABAD,BELA,SONKHOS,1905052 - GOVT. TRIBAL PRIMARY SCHO,1,1,2,41,1,41
28010504303,Andhra Pradesh                     ,ADILABAD,BELA,SYEDPUR,1905059 - GOVT. TRIBAL PRIMARY SCHO,1,1,2,41,1,41
28010504403,Andhra Pradesh                     ,ADILABAD,BELA,TOYAGUDA (KORA),1905060 - GOVT. TRIBAL PRIMARY SCHO,1,1,2,43,1,43
28014201010,Andhra Pradesh                     ,ADILABAD,BELLAMPALLY,AKENIPALLE,1942602 - Z.P.High School,1,5,3,259,6,43
28014200502,Andhra Pradesh                     ,ADILABAD,BELLAMPALLY,BUDHA KALAN,1942325 - M P U P SCHOOL,1,2,3,168,3,56
28014200906,Andhra Pradesh                     ,ADILABAD,BELLAMPALLY,GURJAL,1942631 - ZPSS TALLAGURIJALA,1,5,3,132,2,66
28011690403,Andhra Pradesh                     ,ADILABAD,BHAINSA,BHAINSA,1916040 - Govt.Primary School,2,1,1,52,1,52
28011690404,Andhra Pradesh                     ,ADILABAD,BHAINSA,BHAINSA,1916041 - Govt.Primary School,2,1,1,82,1,82
28011690405,Andhra Pradesh                     ,ADILABAD,BHAINSA,BHAINSA,1916042 - Govt.Primary School,2,1,1,100,2,50
28011690417,Andhra Pradesh                     ,ADILABAD,BHAINSA,BHAINSA,1916056 - M P P SCHOOL,2,1,3,107,2,54
28011690428,Andhra Pradesh                     ,ADILABAD,BHAINSA,BHAINSA,1916072 - GOVT PRIMARY SCH NO.1,1,1,1,268,5,54
28011690440,Andhra Pradesh                     ,ADILABAD,BHAINSA,BHAINSA,1916322 - M P U P SCHOOL,2,2,3,189,4,47
28011600901,Andhra Pradesh                     ,ADILABAD,BHAINSA,CHINTALABORI,1916324 - M P U P SCHOOL,1,2,3,166,3,55
28011602802,Andhra Pradesh                     ,ADILABAD,BHAINSA,KAMOL,1916031 - M.P.Primary School,1,1,3,174,2,87
28011601003,Andhra Pradesh                     ,ADILABAD,BHAINSA,KOTALGAON,1916607 - Z.P.High School,1,5,3,126,3,42
28011600801,Andhra Pradesh                     ,ADILABAD,BHAINSA,MAHAGAON,1916037 - M.P.Primary School,1,1,3,159,3,53
28011603001,Andhra Pradesh                     ,ADILABAD,BHAINSA,MATEGAON,1916038 - M.P.Primary School,1,1,3,126,3,42
28011600503,Andhra Pradesh                     ,ADILABAD,BHAINSA,MIRZAPUR,1916069-MP PS MIRZAPUR(UM),1,1,3,106,2,53
28011600504,Andhra Pradesh                     ,ADILABAD,BHAINSA,MIRZAPUR,1916620-ZPSS-MIRZAPUR(TM),1,5,3,97,2,49
28011601901,Andhra Pradesh                     ,ADILABAD,BHAINSA,PANGRI,1916020 - M.P.Primary School,1,1,3,57,1,57
28011601303,Andhra Pradesh                     ,ADILABAD,BHAINSA,THIMMAPUR,1916332 - M.P U.Primary School,1,2,3,62,1,62
28011602501,Andhra Pradesh                     ,ADILABAD,BHAINSA,WALEGAON,1916075 - MPPS WALEGAON,1,1,3,143,3,48
28011601402,Andhra Pradesh                     ,ADILABAD,BHAINSA,WANALPAHAD,1916067 - MPPS WANALPAD,1,1,3,147,3,49
28014401001,Andhra Pradesh                     ,ADILABAD,BHIMINI,BHEEMINI,1944011 - M.P.Primary School,1,1,3,46,1,46
28014401005,Andhra Pradesh                     ,ADILABAD,BHIMINI,BHEEMINI,1944601 - Z.P.High School,1,5,3,218,5,44
28014402801,Andhra Pradesh                     ,ADILABAD,BHIMINI,JAJJARVELLY,1944030 - M.P.Primary School,1,1,3,51,1,51
28014402802,Andhra Pradesh                     ,ADILABAD,BHIMINI,JAJJARVELLY,1944304 - M.P.U.P.School,1,2,3,140,2,70
28014402501,Andhra Pradesh                     ,ADILABAD,BHIMINI,JANKAPUR,1944051 - M P P SCHOOL,1,1,3,118,1,118
28014402502,Andhra Pradesh                     ,ADILABAD,BHIMINI,JANKAPUR,1944603 - Z P S SCHOOL,1,5,3,123,2,62
28014403401,Andhra Pradesh                     ,ADILABAD,BHIMINI,KANNEPALLE,1944037 - M.P.Primary School,1,1,3,206,2,103
28014400101,Andhra Pradesh                     ,ADILABAD,BHIMINI,KARJIBHEEMPUR,1944001 - M.P.Primary School,1,1,3,62,1,62
28014400301,Andhra Pradesh                     ,ADILABAD,BHIMINI,LAXMIPUR,1944003 - M.P.Primary School,1,1,3,41,1,41
28014401402,Andhra Pradesh                     ,ADILABAD,BHIMINI,MALLIDI,1944016 - M.P.Primary School,1,1,3,44,1,44
28014403504,Andhra Pradesh                     ,ADILABAD,BHIMINI,METPALLE,1944042 - M.P.Primary School,1,1,3,120,1,120
28014403507,Andhra Pradesh                     ,ADILABAD,BHIMINI,METPALLE,1944045 - M.P.Primary School,1,1,3,53,1,53
28014403508,Andhra Pradesh                     ,ADILABAD,BHIMINI,METPALLE,1944052 - MPPS BOGUDAGUDEM,1,1,3,43,1,43
28014403301,Andhra Pradesh                     ,ADILABAD,BHIMINI,MUTHAPUR,1944035 - M.P.Primary School,1,1,3,41,1,41
28014402001,Andhra Pradesh                     ,ADILABAD,BHIMINI,POLAMPALLE,1944022 - M.P.Primary School,1,1,3,45,1,45
28014400602,Andhra Pradesh                     ,ADILABAD,BHIMINI,SURJAPUR,1944007 - M.P.Primary School,1,1,3,50,1,50
28014402401,Andhra Pradesh                     ,ADILABAD,BHIMINI,TEKULAPALLE,1944025 - M.P.Primary School,1,1,3,82,2,41
28014401504,Andhra Pradesh                     ,ADILABAD,BHIMINI,VENKATAPUR,1944604 - Z P S SCHOOL,1,5,3,140,2,70
28011103401,Andhra Pradesh                     ,ADILABAD,BOATH,ANDURU,1911029 - M.P.Primary School,1,1,3,47,1,47
28011101901,Andhra Pradesh                     ,ADILABAD,BOATH,BABERA,1911018 - M.P.Primary School,1,1,3,50,1,50
28011102701,Andhra Pradesh                     ,ADILABAD,BOATH,BOATH BUZURG,1911023 - M.P.Primary School(BOYS),1,1,3,122,3,41
28011102718,Andhra Pradesh                     ,ADILABAD,BOATH,BOATH BUZURG,1911074 - TWPS SAI NAGAR,1,1,2,73,1,73
28011100201,Andhra Pradesh                     ,ADILABAD,BOATH,GOLLAPUR,1911045 - GOVT.TRIBAL PRIMARY SCHOO,1,1,2,41,1,41
28011102001,Andhra Pradesh                     ,ADILABAD,BOATH,KANTEGAON,1911020 - M.P.Primary School,1,1,3,93,2,47
28011101001,Andhra Pradesh                     ,ADILABAD,BOATH,KOWTHA BUZURG,1911009 - M.P.Primary School,1,1,3,160,2,80
28011102201,Andhra Pradesh                     ,ADILABAD,BOATH,MARLAPALLY,1911022 - M.P.Primary School,1,1,3,130,3,43
28011103901,Andhra Pradesh                     ,ADILABAD,BOATH,NAGAPUR,1911033 - M.P.Primary School,1,1,3,90,2,45
28011103201,Andhra Pradesh                     ,ADILABAD,BOATH,PIPPALADHARI,1911028 - M.P.Primary School,1,1,3,41,1,41
28011100603,Andhra Pradesh                     ,ADILABAD,BOATH,SONALA,1911006 - M.P.Primary School,1,1,3,42,1,42
28015100801,Andhra Pradesh                     ,ADILABAD,CHENNUR,AKKAPALLE,1951302 - M.P.U.P.School,1,2,3,127,3,42
28015103401,Andhra Pradesh                     ,ADILABAD,CHENNUR,BEERVELLI,1951031 - M.P.Primary School,1,1,3,50,1,50
28015101002,Andhra Pradesh                     ,ADILABAD,CHENNUR,CHENNUR,1951009 - M.P.Primary School,1,1,3,42,1,42
28015101005,Andhra Pradesh                     ,ADILABAD,CHENNUR,CHENNUR,1951012 - M.P.Primary School,1,1,3,47,1,47
28015101016,Andhra Pradesh                     ,ADILABAD,CHENNUR,CHENNUR,1951066 - MPPS CHENNUR,1,1,3,102,2,51
28015102001,Andhra Pradesh                     ,ADILABAD,CHENNUR,DUGNEPALLE,1951005 - M.P.Primary School,1,1,3,102,2,51
28015102002,Andhra Pradesh                     ,ADILABAD,CHENNUR,DUGNEPALLE,1951022 - M.P.Primary School,1,1,3,42,1,42
28015102402,Andhra Pradesh                     ,ADILABAD,CHENNUR,GANGARAM,1951317 - M P U P SCHOOL,1,2,3,175,4,44
28015101201,Andhra Pradesh                     ,ADILABAD,CHENNUR,KISTAMPET,1951004 - M.P.Primary School,1,1,3,204,3,68
28015102604,Andhra Pradesh                     ,ADILABAD,CHENNUR,KOMMERA,1951619- ZPSS-KOMMERA,1,5,3,86,2,43
28015102801,Andhra Pradesh                     ,ADILABAD,CHENNUR,NARASAKKAPET,1951040 - M.P.Primary School,1,1,3,41,1,41
28015102901,Andhra Pradesh                     ,ADILABAD,CHENNUR,POKKUR,1951025 - M.P.Primary School,1,1,3,43,1,43
28015102904,Andhra Pradesh                     ,ADILABAD,CHENNUR,POKKUR,1951620 - ZPSS - POKKUR,1,5,3,98,1,98
28015100601,Andhra Pradesh                     ,ADILABAD,CHENNUR,SHIVALINGAPUR,1951006 - M.P.Primary School,1,1,3,48,1,48
28015101402,Andhra Pradesh                     ,ADILABAD,CHENNUR,SUDDAL,1951020 - M.P.Primary School,1,1,3,42,1,42
28014802801,Andhra Pradesh                     ,ADILABAD,DAHEGOAN,AMARGONDA,1948039 - M.P.Primary School,1,1,3,49,1,49
28014800602,Andhra Pradesh                     ,ADILABAD,DAHEGOAN,BEEBRA,1948009 - M.P.Primary School,1,1,3,121,3,40
28014800301,Andhra Pradesh                     ,ADILABAD,DAHEGOAN,BORLA KUNTA,1948002 - M.P.Primary School,1,1,3,42,1,42
28014803102,Andhra Pradesh                     ,ADILABAD,DAHEGOAN,CHANDRAPALLE,1948046 - M.P.Primary School,1,1,3,65,1,65
28014800802,Andhra Pradesh                     ,ADILABAD,DAHEGOAN,CHEDVAI,1948012 - M.P.Primary School,1,1,3,105,2,53
28014800804,Andhra Pradesh                     ,ADILABAD,DAHEGOAN,CHEDVAI,1948602 - Z.P.High School,1,5,3,201,4,50
28014801101,Andhra Pradesh                     ,ADILABAD,DAHEGOAN,CHINNAGUDIPET,1948304 - M.P.U.P.School,1,2,3,189,4,47
28014802703,Andhra Pradesh                     ,ADILABAD,DAHEGOAN,CHINNARASPALLE,1948607 - Z.P. S  SCHOOL,1,5,3,190,2,95
28014801902,Andhra Pradesh                     ,ADILABAD,DAHEGOAN,DAHEGAON,1948025 - M.P.Primary School,1,1,3,62,1,62
28014803003,Andhra Pradesh                     ,ADILABAD,DAHEGOAN,GIRVELLI,1948043 - M.P.Primary School,1,1,3,55,1,55
28014800202,Andhra Pradesh                     ,ADILABAD,DAHEGOAN,ITIAL,1948063 - M.P. PRIMARY SCHOOL,1,1,3,105,1,105
28014801802,Andhra Pradesh                     ,ADILABAD,DAHEGOAN,KALWADA,1948034 - M.P.Primary School,1,1,3,42,1,42
