STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name
28,533,Nizamabad,04379,Sirkonda,000000,Sirkonda
28,533,Nizamabad,04380,Machareddy,000000,Machareddy
28,533,Nizamabad,04381,Sadasivanagar,000000,Sadasivanagar
28,533,Nizamabad,04382,Gandhari,000000,Gandhari
28,533,Nizamabad,04383,Banswada,000000,Banswada
28,533,Nizamabad,04384,Pitlam,000000,Pitlam
28,533,Nizamabad,04385,Nizamsagar,000000,Nizamsagar
28,533,Nizamabad,04386,Yellareddy,000000,Yellareddy
28,533,Nizamabad,04387,Nagareddipet,000000,Nagareddipet
28,533,Nizamabad,04388,Lingampet,000000,Lingampet
28,533,Nizamabad,04389,Tadwai,000000,Tadwai
28,533,Nizamabad,04390,Kamareddy,000000,Kamareddy
28,533,Nizamabad,04390,Kamareddy,802906,Kamareddy (M)
28,533,Nizamabad,04391,Bhiknoor,000000,Bhiknoor
28,533,Nizamabad,04392,Domakonda,000000,Domakonda
28,534,Karimnagar,00000,Karimnagar,000000,Karimnagar
28,534,Karimnagar,00000,Karimnagar,802907,Ramagundam (M + OG)
28,534,Karimnagar,00000,Karimnagar,802911,Karimnagar (M Corp. + OG)
28,534,Karimnagar,04393,Ibrahimpatnam,000000,Ibrahimpatnam
28,534,Karimnagar,04394,Mallapur,000000,Mallapur
28,534,Karimnagar,04395,Raikal,000000,Raikal
28,534,Karimnagar,04396,Sarangapur,000000,Sarangapur
28,534,Karimnagar,04397,Dharmapuri,000000,Dharmapuri
28,534,Karimnagar,04398,Velgatoor,000000,Velgatoor
28,534,Karimnagar,04399,Ramagundam,000000,Ramagundam
28,534,Karimnagar,04399,Ramagundam,802907,Ramagundam (M + OG) (Part)
28,534,Karimnagar,04399,Ramagundam,802907,Ramagundam (M)
28,534,Karimnagar,04400,Kamanpur,000000,Kamanpur
28,534,Karimnagar,04400,Kamanpur,802907,Ramagundam (M + OG) (Part)
28,534,Karimnagar,04401,Manthani,000000,Manthani
28,534,Karimnagar,04402,Kataram,000000,Kataram
28,534,Karimnagar,04403,Mahadevpur,000000,Mahadevpur
28,534,Karimnagar,04404,Mutharam (Mahadevpur),000000,Mutharam (Mahadevpur)
28,534,Karimnagar,04405,Malharrao,000000,Malharrao
28,534,Karimnagar,04406,Mutharam (Manthani),000000,Mutharam (Manthani)
28,534,Karimnagar,04407,Srirampur,000000,Srirampur
28,534,Karimnagar,04408,Peddapalle,000000,Peddapalle
28,534,Karimnagar,04409,Julapalle,000000,Julapalle
28,534,Karimnagar,04410,Elgaid,000000,Elgaid
28,534,Karimnagar,04411,Dharmaram,000000,Dharmaram
28,534,Karimnagar,04412,Gollapalle,000000,Gollapalle
28,534,Karimnagar,04413,Mallial,000000,Mallial
28,534,Karimnagar,04414,Jagtial,000000,Jagtial
28,534,Karimnagar,04414,Jagtial,802908,Jagtial (M + OG)
28,534,Karimnagar,04414,Jagtial,802908,Jagtial (M)
28,534,Karimnagar,04415,Medipalle,000000,Medipalle
28,534,Karimnagar,04416,Koratla,000000,Koratla
28,534,Karimnagar,04416,Koratla,802909,Koratla (M)
28,534,Karimnagar,04417,Metpalle,000000,Metpalle
28,534,Karimnagar,04417,Metpalle,802910,Metpalle (M)
28,534,Karimnagar,04418,Kathlapur,000000,Kathlapur
28,534,Karimnagar,04419,Chandurthi,000000,Chandurthi
28,534,Karimnagar,04420,Kodimial,000000,Kodimial
28,534,Karimnagar,04421,Pegadapalle,000000,Pegadapalle
28,534,Karimnagar,04422,Gangadhara,000000,Gangadhara
28,534,Karimnagar,04423,Ramadugu,000000,Ramadugu
28,534,Karimnagar,04424,Choppadandi,000000,Choppadandi
28,534,Karimnagar,04425,Sultanabad,000000,Sultanabad
28,534,Karimnagar,04426,Odela,000000,Odela
28,534,Karimnagar,04427,Manakondur,000000,Manakondur
28,534,Karimnagar,04428,Karimnagar,000000,Karimnagar
28,534,Karimnagar,04428,Karimnagar,802911,Karimnagar (M Corp. + OG) (Part)
28,534,Karimnagar,04428,Karimnagar,802911,Karimnagar (M Corp.)
28,534,Karimnagar,04429,Boinpalle,000000,Boinpalle
28,534,Karimnagar,04430,Vemulawada,000000,Vemulawada
28,534,Karimnagar,04431,Konaraopeta,000000,Konaraopeta
28,534,Karimnagar,04432,Yellareddipet,000000,Yellareddipet
28,534,Karimnagar,04433,Gambhiraopet,000000,Gambhiraopet
28,534,Karimnagar,04434,Mustabad,000000,Mustabad
28,534,Karimnagar,04435,Sircilla,000000,Sircilla
28,534,Karimnagar,04435,Sircilla,802912,Sircilla (M + OG)
28,534,Karimnagar,04435,Sircilla,802912,Sircilla (M)
28,534,Karimnagar,04436,Ellanthakunta,000000,Ellanthakunta
28,534,Karimnagar,04437,Bejjanki,000000,Bejjanki
28,534,Karimnagar,04438,Timmapur (LMD Colony),000000,Timmapur (LMD Colony)
28,534,Karimnagar,04438,Timmapur (LMD Colony),802911,Karimnagar (M Corp. + OG) (Part)
28,534,Karimnagar,04439,Veenavanka,000000,Veenavanka
28,534,Karimnagar,04440,Jammikunta,000000,Jammikunta
28,534,Karimnagar,04441,Shankarapatnam,000000,Shankarapatnam
28,534,Karimnagar,04442,Chigurumamidi,000000,Chigurumamidi
28,534,Karimnagar,04443,Koheda,000000,Koheda
28,534,Karimnagar,04444,Husnabad,000000,Husnabad
28,534,Karimnagar,04445,Saidapur,000000,Saidapur
28,534,Karimnagar,04446,Huzurabad,000000,Huzurabad
28,534,Karimnagar,04447,Kamalapur,000000,Kamalapur
28,534,Karimnagar,04448,Bheemadevarpalle,000000,Bheemadevarpalle
28,534,Karimnagar,04449,Elkathurthi,000000,Elkathurthi
28,535,Medak,00000,Medak,000000,Medak
28,535,Medak,04450,Kangti,000000,Kangti
28,535,Medak,04451,Manoor,000000,Manoor
28,535,Medak,04452,Narayankhed,000000,Narayankhed
28,535,Medak,04453,Kalher,000000,Kalher
28,535,Medak,04454,Shankarampet (A),000000,Shankarampet (A)
28,535,Medak,04455,Papannapet,000000,Papannapet
28,535,Medak,04456,Medak,000000,Medak
28,535,Medak,04456,Medak,802913,Medak (M + OG)
28,535,Medak,04456,Medak,802913,Medak (M)
28,535,Medak,04457,Ramayampet,000000,Ramayampet
28,535,Medak,04458,Dubbak,000000,Dubbak
28,535,Medak,04459,Siddipet,000000,Siddipet
28,535,Medak,04459,Siddipet,802914,Siddipet (M + OG)
28,535,Medak,04459,Siddipet,802914,Siddipet (M)
28,535,Medak,04460,Chinnakodur,000000,Chinnakodur
28,535,Medak,04461,Nangnoor,000000,Nangnoor
28,535,Medak,04462,Kondapak,000000,Kondapak
28,535,Medak,04463,Thoguta,000000,Thoguta
28,535,Medak,04464,Mirdoddi,000000,Mirdoddi
28,535,Medak,04465,Doultabad,000000,Doultabad
28,535,Medak,04466,Chegunta,000000,Chegunta
28,535,Medak,04467,Shankarampet (R),000000,Shankarampet (R)
28,535,Medak,04468,Kulcharam,000000,Kulcharam
28,535,Medak,04469,Tekmal,000000,Tekmal
28,535,Medak,04470,Alladurg,000000,Alladurg
28,535,Medak,04471,Regode,000000,Regode
28,535,Medak,04472,Raikode,000000,Raikode
28,535,Medak,04473,Nyalkal,000000,Nyalkal
28,535,Medak,04474,Zahirabad,000000,Zahirabad
28,535,Medak,04474,Zahirabad,802915,Zahirabad (M + OG)
28,535,Medak,04474,Zahirabad,802915,Zahirabad (M)
28,535,Medak,04475,Kohir,000000,Kohir
28,535,Medak,04476,Jharasangam,000000,Jharasangam
28,535,Medak,04477,Munpalle,000000,Munpalle
28,535,Medak,04478,Pulkal,000000,Pulkal
28,535,Medak,04479,Andole,000000,Andole
28,535,Medak,04480,Kowdipalle,000000,Kowdipalle
28,535,Medak,04481,Yeldurthy,000000,Yeldurthy
28,535,Medak,04482,Tupran,000000,Tupran
28,535,Medak,04483,Gajwel,000000,Gajwel
28,535,Medak,04484,Jagdevpur,000000,Jagdevpur
28,535,Medak,04485,Wargal,000000,Wargal
28,535,Medak,04486,Mulug,000000,Mulug
28,535,Medak,04487,Shivampet,000000,Shivampet
28,535,Medak,04488,Narsapur,000000,Narsapur
28,535,Medak,04489,Hathnoora,000000,Hathnoora
28,535,Medak,04490,Sadasivpet,000000,Sadasivpet
28,535,Medak,04490,Sadasivpet,802916,Sadasivpet (M + OG)
28,535,Medak,04490,Sadasivpet,802916,Sadasivpet (M)
28,535,Medak,04491,Kondapur,000000,Kondapur
28,535,Medak,04492,Sangareddy,000000,Sangareddy
28,535,Medak,04492,Sangareddy,802917,Sangareddy (M + OG)
28,535,Medak,04492,Sangareddy,802917,Sangareddy (M)
28,535,Medak,04493,Jinnaram,000000,Jinnaram
28,535,Medak,04494,Patancheru,000000,Patancheru
28,535,Medak,04494,Patancheru,802918,GHMC (M Corp.) (Part)
28,535,Medak,04495,Ramachandrapuram,000000,Ramachandrapuram
28,535,Medak,04495,Ramachandrapuram,802918,GHMC (M Corp. + OG) (Part)
28,535,Medak,04495,Ramachandrapuram,802918,GHMC (M Corp.) (Part)
28,536,Hyderabad,00000,Hyderabad,000000,Hyderabad
28,536,Hyderabad,04496,Shaikpet,000000,Shaikpet
28,536,Hyderabad,04496,Shaikpet,802918,GHMC (M Corp.) (Part)
28,536,Hyderabad,04497,Ameerpet,000000,Ameerpet
28,536,Hyderabad,04497,Ameerpet,802918,GHMC (M Corp.) (Part)
28,536,Hyderabad,04498,Secunderabad,000000,Secunderabad
28,536,Hyderabad,04498,Secunderabad,802918,GHMC (M Corp.) (Part)
28,536,Hyderabad,04499,Tirumalagiri,000000,Tirumalagiri
28,536,Hyderabad,04499,Tirumalagiri,802919,Secunderabad (CB)
28,536,Hyderabad,04500,Maredpalle,000000,Maredpalle
28,536,Hyderabad,04500,Maredpalle,802918,GHMC (M Corp.) (Part)
28,536,Hyderabad,04501,Musheerabad,000000,Musheerabad
28,536,Hyderabad,04501,Musheerabad,802918,GHMC (M Corp.) (Part)
28,536,Hyderabad,04502,Amberpet,000000,Amberpet
28,536,Hyderabad,04502,Amberpet,802918,GHMC (M Corp.) (Part)
28,536,Hyderabad,04503,Himayathnagar,000000,Himayathnagar
28,536,Hyderabad,04503,Himayathnagar,802918,GHMC (M Corp.) (Part)
28,536,Hyderabad,04504,Nampally,000000,Nampally
28,536,Hyderabad,04504,Nampally,802918,GHMC (M Corp.) (Part)
28,536,Hyderabad,04505,Khairatabad,000000,Khairatabad
28,536,Hyderabad,04505,Khairatabad,802918,GHMC (M Corp.) (Part)
28,536,Hyderabad,04506,Asifnagar,000000,Asifnagar
28,536,Hyderabad,04506,Asifnagar,802918,GHMC (M Corp.) (Part)
28,536,Hyderabad,04507,Golconda,000000,Golconda
28,536,Hyderabad,04507,Golconda,802918,GHMC (M Corp.) (Part)
28,536,Hyderabad,04508,Bahadurpura,000000,Bahadurpura
28,536,Hyderabad,04508,Bahadurpura,802918,GHMC (M Corp.) (Part)
28,536,Hyderabad,04509,Bandlaguda,000000,Bandlaguda
28,536,Hyderabad,04509,Bandlaguda,802918,GHMC (M Corp.) (Part)
28,536,Hyderabad,04510,Charminar,000000,Charminar
28,536,Hyderabad,04510,Charminar,802918,GHMC (M Corp.) (Part)
28,536,Hyderabad,04511,Saidabad,000000,Saidabad
28,536,Hyderabad,04511,Saidabad,802918,GHMC (M Corp.) (Part)
28,537,Rangareddy,00000,Rangareddy,000000,Rangareddy
28,537,Rangareddy,04512,Marpalle,000000,Marpalle
28,537,Rangareddy,04513,Mominpet,000000,Mominpet
28,537,Rangareddy,04514,Nawabpet,000000,Nawabpet
28,537,Rangareddy,04515,Shankarpalle,000000,Shankarpalle
28,537,Rangareddy,04516,Serilingampally,000000,Serilingampally
28,537,Rangareddy,04516,Serilingampally,802918,GHMC (M Corp.) (Part)
28,537,Rangareddy,04517,Balanagar,000000,Balanagar
28,537,Rangareddy,04517,Balanagar,802918,GHMC (M Corp.) (Part)
28,537,Rangareddy,04518,Qutubullapur,000000,Qutubullapur
28,537,Rangareddy,04518,Qutubullapur,802918,GHMC (M Corp. + OG) (Part)
28,537,Rangareddy,04518,Qutubullapur,802918,GHMC (M Corp.) (Part)
28,537,Rangareddy,04519,Medchal,000000,Medchal
28,537,Rangareddy,04520,Shamirpet,000000,Shamirpet
28,537,Rangareddy,04520,Shamirpet,802918,GHMC (M Corp. + OG) (Part)
28,537,Rangareddy,04521,Malkajgiri,000000,Malkajgiri
28,537,Rangareddy,04521,Malkajgiri,802918,GHMC (M Corp. + OG) (Part)
28,537,Rangareddy,04521,Malkajgiri,802918,GHMC (M Corp.) (Part)
28,537,Rangareddy,04522,Keesara,000000,Keesara
28,537,Rangareddy,04522,Keesara,802918,GHMC (M Corp. + OG) (Part)
28,537,Rangareddy,04522,Keesara,802918,GHMC (M Corp.) (Part)
28,537,Rangareddy,04523,Ghatkesar,000000,Ghatkesar
28,537,Rangareddy,04523,Ghatkesar,802918,GHMC (M Corp. + OG) (Part)
28,537,Rangareddy,04523,Ghatkesar,802918,GHMC (M Corp.) (Part)
28,537,Rangareddy,04524,Uppal,000000,Uppal
28,537,Rangareddy,04524,Uppal,802918,GHMC (M Corp.) (Part)
28,537,Rangareddy,04525,Hayathnagar,000000,Hayathnagar
28,537,Rangareddy,04525,Hayathnagar,802918,GHMC (M Corp. + OG) (Part)
28,537,Rangareddy,04525,Hayathnagar,802918,GHMC (M Corp.) (Part)
28,537,Rangareddy,04526,Saroornagar,000000,Saroornagar
28,537,Rangareddy,04526,Saroornagar,802918,GHMC (M Corp. + OG) (Part)
28,537,Rangareddy,04526,Saroornagar,802918,GHMC (M Corp.) (Part)
28,537,Rangareddy,04527,Rajendranagar,000000,Rajendranagar
28,537,Rangareddy,04527,Rajendranagar,802918,GHMC (M Corp. + OG) (Part)
28,537,Rangareddy,04527,Rajendranagar,802918,GHMC (M Corp.) (Part)
28,537,Rangareddy,04528,Moinabad,000000,Moinabad
28,537,Rangareddy,04529,Chevella,000000,Chevella
28,537,Rangareddy,04530,Vicarabad,000000,Vicarabad
28,537,Rangareddy,04530,Vicarabad,802920,Vicarabad (M)
28,537,Rangareddy,04531,Dharur,000000,Dharur
28,537,Rangareddy,04532,Bantwaram,000000,Bantwaram
28,537,Rangareddy,04533,Peddemul,000000,Peddemul
28,537,Rangareddy,04534,Tandur,000000,Tandur
28,537,Rangareddy,04534,Tandur,802921,Tandur (M)
28,537,Rangareddy,04535,Basheerabad,000000,Basheerabad
28,537,Rangareddy,04536,Yelal,000000,Yelal
28,537,Rangareddy,04537,Doma,000000,Doma
28,537,Rangareddy,04538,Gandeed,000000,Gandeed
28,537,Rangareddy,04539,Kulkacharla,000000,Kulkacharla
28,537,Rangareddy,04540,Pargi,000000,Pargi
28,537,Rangareddy,04541,Pudur,000000,Pudur
28,537,Rangareddy,04542,Shabad,000000,Shabad
28,537,Rangareddy,04543,Shamshabad,000000,Shamshabad
28,537,Rangareddy,04543,Shamshabad,802918,GHMC (M Corp. + OG) (Part)
28,537,Rangareddy,04544,Maheswaram,000000,Maheswaram
28,537,Rangareddy,04545,Kandukur,000000,Kandukur
28,537,Rangareddy,04546,Ibrahimpatnam,000000,Ibrahimpatnam
28,537,Rangareddy,04547,Manchal,000000,Manchal
28,537,Rangareddy,04548,Yacharam,000000,Yacharam
28,538,Mahbubnagar,00000,Mahbubnagar,000000,Mahbubnagar
28,538,Mahbubnagar,04549,Kodangal,000000,Kodangal
28,538,Mahbubnagar,04550,Bomraspet,000000,Bomraspet
28,538,Mahbubnagar,04551,Kosgi,000000,Kosgi
28,538,Mahbubnagar,04552,Doulathabad,000000,Doulathabad
28,538,Mahbubnagar,04553,Damaragidda,000000,Damaragidda
28,538,Mahbubnagar,04554,Maddur,000000,Maddur
28,538,Mahbubnagar,04555,Hanwada,000000,Hanwada
28,538,Mahbubnagar,04556,Nawabpet,000000,Nawabpet
28,538,Mahbubnagar,04557,Balanagar,000000,Balanagar
28,538,Mahbubnagar,04558,Kondurg,000000,Kondurg
28,538,Mahbubnagar,04559,Farooqnagar,000000,Farooqnagar
28,538,Mahbubnagar,04560,Kothur,000000,Kothur
28,538,Mahbubnagar,04561,Keshampet,000000,Keshampet
28,538,Mahbubnagar,04562,Talakondapalle,000000,Talakondapalle
28,538,Mahbubnagar,04563,Amangal,000000,Amangal
28,538,Mahbubnagar,04564,Madgul,000000,Madgul
28,538,Mahbubnagar,04565,Veldanda,000000,Veldanda
28,538,Mahbubnagar,04566,Midjil,000000,Midjil
28,538,Mahbubnagar,04567,Jadcherla,000000,Jadcherla
28,538,Mahbubnagar,04568,Mahbubnagar,000000,Mahbubnagar
28,538,Mahbubnagar,04568,Mahbubnagar,802922,Mahbubnagar (M + OG)
28,538,Mahbubnagar,04568,Mahbubnagar,802922,Mahbubnagar (M)
28,538,Mahbubnagar,04569,Koilkonda,000000,Koilkonda
28,538,Mahbubnagar,04570,Narayanpet,000000,Narayanpet
28,538,Mahbubnagar,04570,Narayanpet,802923,Narayanpet (NP)
28,538,Mahbubnagar,04571,Utkoor,000000,Utkoor
28,538,Mahbubnagar,04572,Dhanwada,000000,Dhanwada
28,538,Mahbubnagar,04573,Devarkadra,000000,Devarkadra
28,538,Mahbubnagar,04574,Bhoothpur,000000,Bhoothpur
28,538,Mahbubnagar,04575,Thimmajipet,000000,Thimmajipet
28,538,Mahbubnagar,04576,Kalwakurthy,000000,Kalwakurthy
28,538,Mahbubnagar,04577,Vangoor,000000,Vangoor
28,538,Mahbubnagar,04578,Amrabad,000000,Amrabad
28,538,Mahbubnagar,04579,Achampet,000000,Achampet
28,538,Mahbubnagar,04580,Uppununthala,000000,Uppununthala
28,538,Mahbubnagar,04581,Telkapalle,000000,Telkapalle
28,538,Mahbubnagar,04582,Tadoor,000000,Tadoor
28,538,Mahbubnagar,04583,Nagarkurnool,000000,Nagarkurnool
28,538,Mahbubnagar,04584,Bijinapalle,000000,Bijinapalle
28,538,Mahbubnagar,04585,Ghanpur,000000,Ghanpur
28,538,Mahbubnagar,04586,Addakal,000000,Addakal
28,538,Mahbubnagar,04587,Chinnachintakunta,000000,Chinnachintakunta
28,538,Mahbubnagar,04588,Narva,000000,Narva
28,538,Mahbubnagar,04589,Makthal,000000,Makthal
28,538,Mahbubnagar,04590,Maganoor,000000,Maganoor
28,538,Mahbubnagar,04591,Dharur,000000,Dharur
28,538,Mahbubnagar,04592,Atmakur,000000,Atmakur
28,538,Mahbubnagar,04593,Kothakota,000000,Kothakota
28,538,Mahbubnagar,04594,Peddamandadi,000000,Peddamandadi
28,538,Mahbubnagar,04595,Wanaparthy,000000,Wanaparthy
28,538,Mahbubnagar,04595,Wanaparthy,802924,Wanaparthy (M)
28,538,Mahbubnagar,04596,Gopalpeta,000000,Gopalpeta
28,538,Mahbubnagar,04597,Balmoor,000000,Balmoor
28,538,Mahbubnagar,04598,Lingal,000000,Lingal
28,538,Mahbubnagar,04599,Peddakothapalle,000000,Peddakothapalle
28,538,Mahbubnagar,04600,Kodair,000000,Kodair
28,538,Mahbubnagar,04601,Pangal,000000,Pangal
28,538,Mahbubnagar,04602,Pebbair,000000,Pebbair
28,538,Mahbubnagar,04603,Gadwal,000000,Gadwal
28,538,Mahbubnagar,04603,Gadwal,802925,Gadwal (M + OG)
28,538,Mahbubnagar,04603,Gadwal,802925,Gadwal (M)
28,538,Mahbubnagar,04604,Maldakal,000000,Maldakal
28,538,Mahbubnagar,04605,Ghattu,000000,Ghattu
28,538,Mahbubnagar,04606,Ieej,000000,Ieej
28,538,Mahbubnagar,04607,Itikyal,000000,Itikyal
28,538,Mahbubnagar,04608,Veepangandla,000000,Veepangandla
28,538,Mahbubnagar,04609,Kollapur,000000,Kollapur
28,538,Mahbubnagar,04610,Waddepalle,000000,Waddepalle
28,538,Mahbubnagar,04611,Manopad,000000,Manopad
28,538,Mahbubnagar,04612,Alampur,000000,Alampur
28,539,Nalgonda,00000,Nalgonda,000000,Nalgonda
28,539,Nalgonda,04613,Bommalaramaram,000000,Bommalaramaram
28,539,Nalgonda,04614,M.Turkapalle,000000,M.Turkapalle
28,539,Nalgonda,04615,Rajapet,000000,Rajapet
28,539,Nalgonda,04616,Yadagirigutta,000000,Yadagirigutta
28,539,Nalgonda,04617,Alair,000000,Alair
28,539,Nalgonda,04618,Gundala,000000,Gundala
28,539,Nalgonda,04619,Thirumalgiri,000000,Thirumalgiri
28,539,Nalgonda,04620,Thungathurthi,000000,Thungathurthi
28,539,Nalgonda,04621,Nuthankal,000000,Nuthankal
28,539,Nalgonda,04622,Atmakur (S),000000,Atmakur (S)
28,539,Nalgonda,04623,Jaji Reddi Gudem,000000,Jaji Reddi Gudem
28,539,Nalgonda,04624,Sali Gouraram,000000,Sali Gouraram
28,539,Nalgonda,04625,Mothkur,000000,Mothkur
28,539,Nalgonda,04626,Atmakur (M),000000,Atmakur (M)
28,539,Nalgonda,04627,Valigonda,000000,Valigonda
28,539,Nalgonda,04628,Bhongir,000000,Bhongir
28,539,Nalgonda,04628,Bhongir,802926,Bhongir (M)
28,539,Nalgonda,04629,Bibinagar,000000,Bibinagar
28,539,Nalgonda,04630,Pochampalle,000000,Pochampalle
28,539,Nalgonda,04631,Choutuppal,000000,Choutuppal
28,539,Nalgonda,04632,Ramannapeta,000000,Ramannapeta
28,539,Nalgonda,04633,Chityala,000000,Chityala
28,539,Nalgonda,04634,Narketpalle,000000,Narketpalle
28,539,Nalgonda,04635,Kattangoor,000000,Kattangoor
28,539,Nalgonda,04636,Nakrekal,000000,Nakrekal
28,539,Nalgonda,04637,Kethe Palle,000000,Kethe Palle
28,539,Nalgonda,04638,Suryapet,000000,Suryapet
28,539,Nalgonda,04638,Suryapet,802927,Suryapet (M + OG)
28,539,Nalgonda,04638,Suryapet,802927,Suryapet (M)
28,539,Nalgonda,04639,Chivvemla,000000,Chivvemla
28,539,Nalgonda,04640,Mothey,000000,Mothey
28,539,Nalgonda,04641,Nadigudem,000000,Nadigudem
28,539,Nalgonda,04642,Munagala,000000,Munagala
28,539,Nalgonda,04643,Penpahad,000000,Penpahad
28,539,Nalgonda,04644,Vemulapalle,000000,Vemulapalle
28,539,Nalgonda,04645,Thipparthi,000000,Thipparthi
28,539,Nalgonda,04646,Nalgonda,000000,Nalgonda
28,539,Nalgonda,04646,Nalgonda,802928,Nalgonda (M + OG)
28,539,Nalgonda,04646,Nalgonda,802928,Nalgonda (M)
28,539,Nalgonda,04647,Munugode,000000,Munugode
