District,HASC,Population,Area,Capital
Chandrapur,IN.MH.CH,"2,204,307","11,443",Chandrapur
Changlang,IN.AR.CH,"148,226","4,662",Changlang
Charaideo,IN.AS.CD,,,Sonari
Chatra,IN.JH.CH,"1,042,886","3,700",Chatra
Chennai,IN.TN.CH,"4,646,732",174,Chennai
Chhatarpur,IN.MP.CT,"1,762,375","8,687",Chhatarpur
Chhindwara,IN.MP.CN,"2,090,922","11,815",Chhindwara
Chhota Udaipur,IN.GJ.CU,,,Chhota Udaipur
Chikballapura,IN.KA.CB,"1,255,104","8,223",Kolar
Chikmagalur,IN.KA.CK,"1,137,961","7,201",Chikmagalur
Chirang,IN.AS.CH,"482,162","1,975",Kajalgaon
Chitradurga,IN.KA.CT,"1,659,456","8,437",Chitradurga
Chitrakoot,IN.UP.CT,"991,730","3,202",Chitrakootdham
Chittoor,IN.AD.CH,"4,174,064","15,152",Chittoor
Chittorgarh,IN.RJ.CH,"1,544,338","10,856",Chittorgarh
Churachandpur,IN.MN.CC,"274,143","4,574",Churachandpur
Churu,IN.RJ.CR,"2,039,547","16,830",Churu
Coimbatore,IN.TN.CM,"3,458,045","7,469",Coimbatore
Cuddalore,IN.TN.CU,"2,605,914","3,999",Cuddalore
Cuddapah,IN.AD.CU,"2,882,469","15,359",Cuddapah
Cuttack,IN.OR.CU,"2,624,470","3,915",Cuttack
Dadra and Nagar Haveli,IN.DN.DN,"343,709",491,Silvassa
Dahod,IN.GJ.DA,"2,127,086","3,642",Dahod
Dakshina Kannada,IN.KA.DK,"2,089,649","4,559",Mangalore
Dakshin Dinajpur,IN.WB.DD,"1,676,276","2,183",Balurghat
Daman,IN.DD.DA,"191,173",72,Daman
Damoh,IN.MP.DM,"1,264,219","7,306",Damoh
Dantewada,IN.CT.DN,"533,638","17,538",Dantewada
Darbhanga,IN.BR.DA,"3,937,385","2,278",Darbhanga
Darjeeling,IN.WB.DA,"1,846,823","3,149",Darjeeling
Darrang,IN.AS.DR,"928,500","3,481",Mangaldai
Datia,IN.MP.DT,"786,754","2,694",Datia
Dausa,IN.RJ.DA,"1,634,409","3,429",Dausa
Davanagere,IN.KA.DA,"1,945,497","5,926",Davanagere
Dehradun,IN.UT.DD,"1,696,694","3,088",Dehradun
Deogarh,IN.OR.DE,"312,520","2,781",Deogarh
Deoghar,IN.JH.DE,"1,492,073","2,479",Deoghar
Deoria,IN.UP.DE,"3,100,946","2,535",Deoria
Devbhoomi Dwarka,IN.GJ.DD,,,Khambhalia
Dewas,IN.MP.DE,"1,563,715","7,020",Dewas
Dhalai,IN.TR.DH,"378,230","2,523",Ambassa
Dhamtari,IN.CT.DH,"799,781","3,383",Dhamtari
Dhanbad,IN.JH.DH,"2,684,487","2,075",Dhanbad
Dhar,IN.MP.DH,"2,185,793","8,153",Dhar
Dharmapuri,IN.TN.DM,"1,506,843","9,622",Dharmapuri
Dharwad,IN.KA.DH,"1,847,023","4,265",Dharwad
Dhemaji,IN.AS.DM,"686,133","3,237",Dhemaji
Dhenkanal,IN.OR.DH,"1,192,811","4,597",Dhenkanal
Dholpur,IN.RJ.DH,"1,206,516","3,084",Dholpur
Dhubri,IN.AS.DU,"1,949,258","2,838",Dhubri
Dhule,IN.MH.DH,"2,050,862","8,095",Dhule
Dibrugarh,IN.AS.DI,"1,326,335","3,381",Dibrugarh
Dima Hasao,IN.AS.NC,"214,102","4,888",Haflong
Dimapur,IN.NL.DI,"378,811",926,Dimapur
Dindigul,IN.TN.DI,"2,159,775","6,058",Dindigul
Dindori,IN.MP.DI,"704,524","7,427",Dindori
Diu,IN.DD.DI,"52,074",40,Diu
Doda,IN.JK.DD,"409,936","11,691",Doda
Dumka,IN.JH.DM,"1,321,442","5,518",Dumka
Dungarpur,IN.RJ.DU,"1,388,552","3,770",Dungarpur
Durg,IN.CT.DG,"3,343,872","8,542",Durg
East,IN.DL.ES,"1,709,346","1,483",Delhi
East Champaran,IN.BR.EC,"5,099,371","3,969",Motihari
East Garo Hills,IN.ML.GE,"317,917","2,603",Williamnagar
East Godavari,IN.AD.EG,"5,154,296","10,807",Kakinada
East Imphal,IN.MN.EI,"456,113",710,Porompat
East Jaintia Hills,IN.ML.JE,,,Khliehriat
East Kameng,IN.AR.EK,"78,690","4,134",Seppa
East Khasi Hills,IN.ML.EK,"825,922","2,752",Shillong
East Nimar,IN.MP.KW,"1,310,061","10,779",Khandwa
East Siang,IN.AR.ES,"99,214","4,005",Pasighat
East Sikkim,IN.SK.ES,"283,583",954,Gangtok
Ernakulam,IN.KL.ER,"3,282,388","2,951",Kochi
Erode,IN.TN.ED,"2,251,744","8,209",Erode
Etah,IN.UP.EA,"1,774,480","4,446",Etah
Etawah,IN.UP.EW,"1,581,810","2,287",Etawah
Faizabad,IN.UP.FZ,"2,470,996","2,765",Faizabad
Faridabad,IN.HR.FD,"1,809,733","2,105",Faridabad
Faridkot,IN.PB.FR,"617,508","1,472",Faridkot
Farrukhabad,IN.UP.FR,"1,885,204","2,279",Fatehgarh
Fatehabad,IN.HR.FT,"942,011","2,491",Fatehabad
Fatehgarh Sahib,IN.PB.FT,"600,163","1,180",Fatehgarh Sahib
Fatehpur,IN.UP.FT,"2,632,733","4,152",Fatehpur
Fazilka,IN.PB.FZ,,,Fazilka
Firozabad,IN.UP.FI,"2,498,156","2,361",Firozabad
Firozpur,IN.PB.FP,"2,029,074","5,865",Firozpur
Gadag,IN.KA.GA,"1,064,570","4,651",Gadag
Gadchiroli,IN.MH.GA,"1,072,942","14,412",Gadchiroli
Gajapati,IN.OR.GP,"577,817","3,056",Paralakhemundi
Ganderbal,IN.JK.GA,"297,446","2,228",Srinagar
Gandhinagar,IN.GJ.GA,"1,391,753",649,Gandhinagar
Ganganagar,IN.RJ.GA,"1,969,168","7,984",Ganganagar
Ganjam,IN.OR.GN,"3,529,031","8,033",Chhatrapur
Garhwa,IN.JH.GA,"1,322,784","4,064",Garhwa
Gariaband,IN.CT.GB,,,Gariaband
Gautam Buddha Nagar,IN.UP.GB,"1,648,115","1,269",Noida
Gaya,IN.BR.GA,"4,391,418","4,978",Gaya
Ghaziabad,IN.UP.GH,"4,681,645","1,956",Ghaziabad
Ghazipur,IN.UP.GP,"3,620,268","3,377",Ghazipur
Giridih,IN.JH.GI,"2,445,474","4,887",Giridih
Gir Somnath,IN.GJ.GS,,,Veraval
Goalpara,IN.AS.GP,"1,008,183","1,824",Goalpara
Godda,IN.JH.GO,"1,313,551","2,110",Godda
Golaghat,IN.AS.GG,"1,066,888","3,502",Golaghat
Gomati,IN.TR.GM,,,Udaipur
Gonda,IN.UP.GN,"3,433,919","4,425",Gonda
Gondiya,IN.MH.GO,"1,322,507","5,431",Gondiya
Gopalganj,IN.BR.GO,"2,562,012","2,033",Gopalganj
Gorakhpur,IN.UP.GR,"4,440,895","3,325",Gorakhpur
Gulbarga,IN.KA.GB,"2,566,326","16,224",Gulbarga
Gumla,IN.JH.GM,"1,025,213","9,091",Gumla
Guna,IN.MP.GN,"1,241,519","11,065",Guna
Guntur,IN.AD.GU,"4,887,813","11,391",Guntur
Gurdaspur,IN.PB.GD,"2,298,323","3,570",Gurdaspur
Gurgaon,IN.HR.GG,"1,514,432","2,760",Gurgaon
Gwalior,IN.MP.GW,"2,032,036","5,465",Gwalior
Hailakandi,IN.AS.HA,"659,296","1,327",Hailakandi
Hamirpur,IN.HP.HA,"454,768","1,118",Hamirpur
Hamirpur,IN.UP.HM,"1,104,285","4,325",Hamirpur
Hanumangarh,IN.RJ.HA,"1,774,692","12,645",Hanumangarh
Hapur,IN.UP.HP,,,Hapur
Harda,IN.MP.HA,"570,465","3,339",Harda
Hardoi,IN.UP.HR,"4,092,845","5,986",Hardoi
Haridwar,IN.UT.HA,"1,890,422","2,360",Haridwar
Hassan,IN.KA.HS,"1,776,421","6,814",Hassan
Hathras,IN.UP.HT,"1,564,708","1,752",Hathras
Haveri,IN.KA.HV,"1,597,668","4,825",Haveri
Hazaribagh,IN.JH.HZ,"1,734,495","6,154",Hazaribagh
Hingoli,IN.MH.HI,"1,177,345","4,526",Hingoli
Hissar,IN.HR.HI,"1,743,931","3,788",Hissar
Hojai,IN.AS.HJ,,,Hojai
Hooghly,IN.WB.HG,"5,519,145","3,149",Chinsurah
Hoshangabad,IN.MP.HO,"1,241,350","6,698",Hoshangabad
Hoshiarpur,IN.PB.HO,"1,586,625","3,310",Hoshiarpur
Howrah,IN.WB.HR,"4,850,029","1,467",Howrah
Hyderabad,IN.TG.HY,"3,943,323",217,Hyderabad
Idukki,IN.KL.ID,"1,108,974","4,479",Painaw
Indore,IN.MP.IN,"3,276,697","3,898",Indore
Jabalpur,IN.MP.JA,"2,463,289","5,210",Jabalpur
Jagatsinghpur,IN.OR.JS,"1,136,971","1,759",Jagatsinghpur
Jaipur,IN.RJ.JP,"6,626,178","11,152",Jaipur
Jaisalmer,IN.RJ.JS,"669,919","38,401",Jaisalmer
Jajpur,IN.OR.JP,"1,827,192","2,885",Panikoili
Jalandhar,IN.PB.JA,"2,193,590","2,658",Jalandhar
Jalaun,IN.UP.JL,"1,689,974","4,565",Orai
Jalgaon,IN.MH.JG,"4,229,917","11,765",Jalgaon
Jalna,IN.MH.JN,"1,959,046","7,718",Jalna
Jalore,IN.RJ.JL,"1,828,730","10,640",Jalore
Jalpaiguri,IN.WB.JP,"3,872,846","6,227",Jalpaiguri
Jammu,IN.JK.JM,"1,529,958","3,097",Jammu
Jamnagar,IN.GJ.JM,"2,160,119","14,125",Jamnagar
Jamtara,IN.JH.JA,"791,042","5,518",Dumka
Jamui,IN.BR.JA,"1,760,405","3,099",Jamui
Janjgir-Champa,IN.CT.JC,"1,619,707","3,848",Janjgir
Jashpur,IN.CT.JA,"851,669","5,825",Jashpur
Jaunpur,IN.UP.JU,"4,494,204","4,038",Jaunpur
Jehanabad,IN.BR.JH,"1,125,313","1,569",Jehanabad
Jhabua,IN.MP.JB,"1,025,048","6,782",Jhabua
Jhajjar,IN.HR.JH,"958,405","1,868",Jhajjar
Jhalawar,IN.RJ.JW,"1,411,129","6,219",Jhalawar
Jhansi,IN.UP.JH,"1,998,603","5,024",Jhansi
Jharsuguda,IN.OR.JH,"579,505","2,202",Jharsuguda
Jhunjhunun,IN.RJ.JJ,"2,137,045","5,928",Jhunjhunun
Jind,IN.HR.JI,"1,334,152","2,736",Jind
Jodhpur,IN.RJ.JO,"3,687,165","22,850",Jodhpur
Jorhat,IN.AS.JO,"1,092,256","2,851",Jorhat
Junagadh,IN.GJ.JG,"2,743,082","8,839",Junagadh
Kachchh,IN.GJ.KA,"2,092,371","45,652",Bhuj
Kaimur,IN.BR.KM,"1,626,384","3,363",Bhabua
Kaithal,IN.HR.KT,"1,074,304","2,799",Kaithal
Kalahandi,IN.OR.KL,"1,576,869","8,197",Bhawanipatna
Kamrup,IN.AS.KU,"1,517,542","4,345",Guwahati
Kamrup Metropolitan,IN.AS.KM,"1,253,938",627,Guwahati
Kancheepuram,IN.TN.KC,"3,998,252","4,433",Kancheepuram
Kandhamal,IN.OR.KN,"733,110","6,004",Phulbani
Kangra,IN.HP.KA,"1,510,075","5,739",Dharamasala
Kanker,IN.CT.KK,"748,941","6,513",Kanker
Kannauj,IN.UP.KJ,"1,656,616","1,993",Kannauj
Kannur,IN.KL.KN,"2,523,003","2,966",Kannur
Kanpur,IN.UP.KN,"4,581,268","3,029",Kanpur
Kanpur Dehat,IN.UP.KD,"1,796,184","3,143",Akbarpur
Kanyakumari,IN.TN.KK,"1,870,374","1,685",Nagercoil
Kapurthala,IN.PB.KA,"815,168","1,646",Kapurthala
Karaikal,IN.PY.KA,"200,222",160,Karaikal
Karauli,IN.RJ.KA,"1,458,248","5,530",Karauli
Karbi Anglong,IN.AS.KG,"956,313","10,434",Diphu
Kargil,IN.JK.KR,"140,802","14,036",Kargil
Karimganj,IN.AS.KR,"1,228,686","1,809",Karimganj
Karimnagar,IN.TG.KA,"3,776,269","11,823",Karimnagar
Karnal,IN.HR.KR,"1,505,324","2,471",Karnal
Karur,IN.TN.KR,"1,064,493","2,896",Karur
Kasargod,IN.KL.KS,"1,307,375","1,992",Kasargod
Kasganj,IN.UP.KM,,,Kasganj
Kathua,IN.JK.KA,"616,435","2,651",Kathua
Katihar,IN.BR.KT,"3,071,029","3,056",Katihar
Katni,IN.MP.KA,"1,292,042","4,947",Katni
Kaushambi,IN.UP.KS,"1,599,596","1,837",Kaushambi
Kawardha,IN.CT.KW,"822,526","4,237",Kawardha
Kendrapara,IN.OR.KP,"1,440,361","2,546",Kendrapara
Keonjhar,IN.OR.KJ,"1,801,733","8,336",Keonjhar
Khagaria,IN.BR.KH,"1,666,886","1,486",Khagaria
Khammam,IN.TG.KH,"2,797,370","16,029",Khammam
Kheda,IN.GJ.KD,"2,299,885","4,215",Kheda
Khordha,IN.OR.KH,"2,251,673","2,888",Bhubaneswar
Khowai,IN.TR.KW,,,Khowai
Khunti,IN.JH.KH,"531,885","7,974",Ranchi
Kinnaur,IN.HP.KI,"84,121","6,401",Reckong Peo
Kiphire,IN.NL.KP,"74,004","4,228",Tuensang
Kishanganj,IN.BR.KI,"1,690,400","1,884",Kishanganj
Kishtwar,IN.JK.KW,"230,696","1,848",Kishtwar
Koch Bihar,IN.WB.KB,"2,819,086","3,387",Koch Bihar
Kodagu,IN.KA.KD,"554,519","4,102",Madikeri
Koderma,IN.JH.KO,"716,259","1,312",Koderma
Kohima,IN.NL.KH,"267,988","3,113",Kohima
Kokrajhar,IN.AS.KJ,"887,142","3,129",Kokrajhar
Kolar,IN.KA.KO,"1,536,401","8,223",Kolar
Kolasib,IN.MZ.KO,"83,955","1,386",Kolasib
Kolhapur,IN.MH.KO,"3,876,001","7,685",Kolhapur
Kolkata,IN.WB.KO,"4,496,694",185,Kolkata
Kollam,IN.KL.KL,"2,635,375","2,498",Kollam
Kondagaon,IN.CT.KG,,,Kondagaon
Koppal,IN.KA.KP,"1,389,920","7,190",Koppal
Koraput,IN.OR.KO,"1,379,647","8,534",Koraput
Korba,IN.CT.KB,"1,206,640","6,615",Korba
Koriya,IN.CT.KJ,"658,917","6,578",Koriya
Kota,IN.RJ.KO,"1,951,014","5,446",Kota
Kottayam,IN.KL.KT,"1,974,551","2,203",Kottayam
Kozhikode,IN.KL.KZ,"3,086,293","2,345",Kozhikode
Kra Daadi,IN.AR.KD,,,Jamin
Krishna,IN.AD.KR,"4,517,398","8,727",Machilipatnam
Krishnagiri,IN.TN.KG,"1,879,809","9,622",Dharmapuri
Kulgam,IN.JK.KG,"424,483","3,984",Anantnag
Kulu,IN.HP.KU,"437,903","5,503",Kulu
Kupwara,IN.JK.KU,"870,354","2,379",Kupwara
Kurnool,IN.AD.KU,"4,053,463","17,658",Kurnool
Kurukshetra,IN.HR.KU,"964,655","1,217",Kurukshetra
Kurung Kumey,IN.AR.KK,"92,076","10,135",Koloriang
Kushinagar,IN.UP.KU,"3,564,544","2,909",Padarauna
Lahaul and Spiti,IN.HP.LS,"31,564","13,835",Keylong
Lakhimpur,IN.AS.LA,"1,042,137","2,277",Lakhimpur
Lakhimpur Kheri,IN.UP.LK,"4,021,243","7,680",Kheri
Lakhisarai,IN.BR.LA,"1,000,912","1,229",Lakhisarai
Lakshadweep,IN.LD.LD,"64,473",32,Kavaratti
Lalitpur,IN.UP.LA,"1,221,592","5,039",Lalitpur
Latehar,IN.JH.LA,"726,978","8,717",Daltonganj
Latur,IN.MH.LA,"2,454,196","7,157",Latur
Lawngtlai,IN.MZ.LA,"117,894","2,519",Lawngtlai
Leh,IN.JK.LE,"133,487","82,665",Leh
Lohardaga,IN.JH.LO,"461,790","1,494",Lohardaga
Lohit,IN.AR.LT,"145,726","11,402",Tezu
Longding,IN.AR.LD,,,Longding
Longleng,IN.NL.LL,"50,484",,Longleng
Lower Dibang Valley,IN.AR.DL,"54,080","13,029",Roing
Lower Subansiri,IN.AR.LS,"83,030","10,135",Ziro
Lucknow,IN.UP.LU,"4,589,838","2,528",Lucknow
Ludhiana,IN.PB.LU,"3,498,739","3,744",Ludhiana
Lunglei,IN.MZ.LU,"161,428","4,572",Lunglei
Madhepura,IN.BR.MP,"2,001,762","1,787",Madhepura
Madhubani,IN.BR.MB,"4,487,379","3,501",Madhubani
Madurai,IN.TN.MA,"3,038,252","3,676",Madurai
Maharajganj,IN.UP.MG,"2,684,703","2,948",Maharajganj
Mahasamund,IN.CT.MA,"1,032,754","4,779",Mahasamund
Mahbubnagar,IN.TG.MA,"4,053,028","18,432",Mahbubnagar
Mahe,IN.PY.MA,"41,816",9,Mahe
Mahendragarh,IN.HR.MA,"922,088","1,683",Narnaul
Mahesana,IN.GJ.MA,"2,035,064","4,386",Mahesana
Mahisagar,IN.GJ.MS,,,Lunavada
Mahoba,IN.UP.MH,"875,958","2,847",Mahoba
Mainpuri,IN.UP.MP,"1,868,529","2,760",Mainpuri
Malappuram,IN.KL.MA,"4,112,920","3,550",Malappuram
Malda,IN.WB.MA,"3,988,845","3,733",English Bazar
Malkangiri,IN.OR.ML,"613,192","6,115",Malkangiri
Mamit,IN.MZ.MA,"86,364","2,967",Mamit
Mandi,IN.HP.MA,"999,777","3,950",Mandi
Mandla,IN.MP.ML,"1,054,905","5,805",Mandla
Mandsaur,IN.MP.MS,"1,340,411","5,530",Mandsaur
Mandya,IN.KA.MA,"1,805,769","4,961",Mandya
Mansa,IN.PB.MA,"769,751","2,174",Mansa
Marigaon,IN.AS.MA,"957,423","1,704",Marigaon
Mathura,IN.UP.MT,"2,547,184","3,333",Mathura
Maunathbhanjan,IN.UP.MB,"2,205,968","1,713",Mau
Mayurbhanj,IN.OR.MY,"2,519,738","1,041",Baripada
Medak,IN.TG.ME,"3,033,288","9,699",Sangareddi
Meerut,IN.UP.ME,"3,443,689","2,522",Meerut
Mewat,IN.HR.MW,"1,089,263","2,760",Gurgaon
Mirzapur,IN.UP.MI,"2,496,970","4,522",Mirzapur
Moga,IN.PB.MO,"995,746","1,672",Moga
Mohali,IN.PB.AJ,"994,628","1,188",Mohali
Mokokchung,IN.NL.MK,"194,622","1,615",Mokokchung
Mon,IN.NL.MN,"250,260","1,786",Mon
Moradabad,IN.UP.MD,"4,772,006","3,648",Moradabad
Morbi,IN.GJ.MB,,,Morbi
Morena,IN.MP.MO,"1,965,970","4,991",Morena
Muktsar,IN.PB.MU,"901,896","2,596",Muktsar
Mumbai City,IN.MH.MC,"3,085,411",69,Mumbai City
Mumbai Suburban,IN.MH.MU,"9,356,962",534,Bandra
Mungeli,IN.CT.MU,,,Mungeli
Munger,IN.BR.MG,"1,367,765","1,419",Munger
Murshidabad,IN.WB.MU,"7,103,807","5,324",Berhampore
Muzaffarnagar,IN.UP.MZ,"4,143,512","4,008",Muzaffarnagar
Muzaffarpur,IN.BR.MZ,"4,801,062","3,173",Muzaffarpur
Mysore,IN.KA.MY,"3,001,127","6,854",Mysore
Nabarangpur,IN.OR.NB,"1,220,946","5,135",Nabarangpur
Nadia,IN.WB.NA,"5,167,600","3,927",Krishnanagar
Nagaon,IN.AS.NN,"2,823,768","3,831",Nagaon
Nagapattinam,IN.TN.NG,"1,616,450","2,716",Nagapattinam
Nagaur,IN.RJ.NA,"3,307,743","17,718",Nagaur
Nagpur,IN.MH.NG,"4,653,570","9,892",Nagpur
Nainital,IN.UT.NA,"954,605","3,853",Nainital
Nalanda,IN.BR.NL,"2,877,653","2,354",Bihar Sharif
Nalbari,IN.AS.NB,"771,639","2,257",Nalbari
Nalgonda,IN.TG.NA,"3,488,809","14,240",Nalgonda
Namakkal,IN.TN.NM,"1,726,601","3,429",Namakkal
Namsai,IN.AR.NS,,,Namsai
Nanded,IN.MH.ND,"3,361,292","10,528",Nanded
Nandurbar,IN.MH.NB,"1,648,295","5,055",Nandurbar
Narayanpur,IN.CT.NA,"139,820","14,968",Jagdalpur
Narmada,IN.GJ.NR,"590,297","2,749",Rajpipla
Narsinghpur,IN.MP.NA,"1,091,854","5,133",Narsinghpur
Nashik,IN.MH.NS,"6,107,187","15,539",Nashik
Navsari,IN.GJ.NV,"1,329,672","2,211",Navsari
Nawada,IN.BR.NW,"2,219,146","2,492",Nawada
Nawan Shehar,IN.PB.NS,"612,310","1,258",Nawan Shehar
Nayagarh,IN.OR.NY,"962,789","3,954",Nayagarh
Neemuch,IN.MP.NE,"826,067","4,267",Neemuch
Nellore,IN.AD.NE,"2,963,557","13,076",Nellore
New Delhi,IN.DL.ND,"142,004","1,483",Delhi
Nicobar Islands,IN.AN.NI,"36,842","1,841",Car Nicobar
Nilgiris,IN.TN.NI,"735,394","2,549",Udhagamandalam
Nizamabad,IN.TG.NI,"2,551,335","7,956",Nizamabad
North,IN.DL.NO,"887,978","1,483",Delhi
