tablename,statecode,districtcode,tahsilcode,towncode,areaname,figuretype,hh_number,pop_number,size_1,size_2,size_3,size_4,size_5,size_6,size_7-10,size_11-14,size_15+,size_mean
HH01,28,532,4308,0,Sub-district - Bela,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4309,0,Sub-district - Talamadugu,Total,8135,34531,370,852,1254,2484,1666,845,598,57,9,4.2
HH01,28,532,4309,0,Sub-district - Talamadugu,Rural,8135,34531,370,852,1254,2484,1666,845,598,57,9,4.2
HH01,28,532,4309,0,Sub-district - Talamadugu,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4310,0,Sub-district - Gudihathnoor,Total,6517,30216,187,545,869,1628,1531,912,784,48,13,4.6
HH01,28,532,4310,0,Sub-district - Gudihathnoor,Rural,6517,30216,187,545,869,1628,1531,912,784,48,13,4.6
HH01,28,532,4310,0,Sub-district - Gudihathnoor,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4311,0,Sub-district - Inderavelly,Total,9848,47345,265,862,1247,2114,2208,1523,1527,82,20,4.8
HH01,28,532,4311,0,Sub-district - Inderavelly,Rural,9848,47345,265,862,1247,2114,2208,1523,1527,82,20,4.8
HH01,28,532,4311,0,Sub-district - Inderavelly,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4312,0,Sub-district - Narnoor,Total,9883,47691,288,1005,1261,2039,2090,1523,1487,148,42,4.8
HH01,28,532,4312,0,Sub-district - Narnoor,Rural,9883,47691,288,1005,1261,2039,2090,1523,1487,148,42,4.8
HH01,28,532,4312,0,Sub-district - Narnoor,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4313,0,Sub-district - Kerameri ,Total,6638,30504,213,742,942,1414,1476,935,846,58,12,4.6
HH01,28,532,4313,0,Sub-district - Kerameri ,Rural,6638,30504,213,742,942,1414,1476,935,846,58,12,4.6
HH01,28,532,4313,0,Sub-district - Kerameri ,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4314,0,Sub-district - Wankdi,Total,7720,34363,227,880,1071,1875,1771,1023,845,23,5,4.5
HH01,28,532,4314,0,Sub-district - Wankdi,Rural,7720,34363,227,880,1071,1875,1771,1023,845,23,5,4.5
HH01,28,532,4314,0,Sub-district - Wankdi,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4315,0,Sub-district - Sirpur (T),Total,7593,31089,411,1029,1219,2045,1522,773,577,15,2,4.1
HH01,28,532,4315,0,Sub-district - Sirpur (T),Rural,7593,31089,411,1029,1219,2045,1522,773,577,15,2,4.1
HH01,28,532,4315,0,Sub-district - Sirpur (T),Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4316,0,Sub-district - Kouthala,Total,11893,50591,352,1386,1828,3321,2762,1334,883,26,1,4.3
HH01,28,532,4316,0,Sub-district - Kouthala,Rural,11893,50591,352,1386,1828,3321,2762,1334,883,26,1,4.3
HH01,28,532,4316,0,Sub-district - Kouthala,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4317,0,Sub-district - Bejjur,Total,11743,49180,483,1626,1875,2952,2473,1305,998,28,3,4.2
HH01,28,532,4317,0,Sub-district - Bejjur,Rural,11743,49180,483,1626,1875,2952,2473,1305,998,28,3,4.2
HH01,28,532,4317,0,Sub-district - Bejjur,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4318,0,Sub-district - Kagaznagar,Total,26166,109581,1265,3113,4163,7317,5406,2710,2090,88,14,4.2
HH01,28,532,4318,0,Sub-district - Kagaznagar,Rural,12614,52340,623,1513,2009,3457,2721,1318,955,16,2,4.1
HH01,28,532,4318,0,Sub-district - Kagaznagar,Urban,13552,57241,642,1600,2154,3860,2685,1392,1135,72,12,4.2
HH01,28,532,4319,0,Sub-district - Asifabad ,Total,13352,55477,602,1802,2155,3584,2739,1372,1047,43,8,4.2
HH01,28,532,4319,0,Sub-district - Asifabad ,Rural,8464,35390,386,1163,1329,2171,1733,929,727,23,3,4.2
HH01,28,532,4319,0,Sub-district - Asifabad ,Urban,4888,20087,216,639,826,1413,1006,443,320,20,5,4.1
HH01,28,532,4320,0,Sub-district - Jainoor,Total,6221,30040,212,583,823,1165,1339,942,1093,50,14,4.8
HH01,28,532,4320,0,Sub-district - Jainoor,Rural,4960,24004,172,460,667,912,1051,737,915,38,8,4.8
HH01,28,532,4320,0,Sub-district - Jainoor,Urban,1261,6036,40,123,156,253,288,205,178,12,6,4.8
HH01,28,532,4321,0,Sub-district - Utnoor,Total,13403,60699,469,1488,2041,3385,2826,1649,1454,69,22,4.5
HH01,28,532,4321,0,Sub-district - Utnoor,Rural,10153,46478,382,1168,1538,2436,2105,1296,1152,55,21,4.6
HH01,28,532,4321,0,Sub-district - Utnoor,Urban,3250,14221,87,320,503,949,721,353,302,14,1,4.4
HH01,28,532,4322,0,Sub-district - Ichoda,Total,11347,52704,357,1177,1560,2713,2433,1440,1507,135,25,4.6
HH01,28,532,4322,0,Sub-district - Ichoda,Rural,8671,40371,280,907,1195,2005,1828,1127,1213,100,16,4.7
HH01,28,532,4322,0,Sub-district - Ichoda,Urban,2676,12333,77,270,365,708,605,313,294,35,9,4.6
HH01,28,532,4323,0,Sub-district - Bazarhathnoor,Total,6161,28059,237,571,803,1564,1409,827,697,41,12,4.6
HH01,28,532,4323,0,Sub-district - Bazarhathnoor,Rural,6161,28059,237,571,803,1564,1409,827,697,41,12,4.6
HH01,28,532,4323,0,Sub-district - Bazarhathnoor,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4324,0,Sub-district - Boath,Total,10974,46747,541,1253,1628,3022,2255,1248,981,43,3,4.3
HH01,28,532,4324,0,Sub-district - Boath,Rural,10974,46747,541,1253,1628,3022,2255,1248,981,43,3,4.3
HH01,28,532,4324,0,Sub-district - Boath,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4325,0,Sub-district - Neradigonda,Total,6467,28786,287,636,942,1701,1353,779,711,42,16,4.5
HH01,28,532,4325,0,Sub-district - Neradigonda,Rural,6467,28786,287,636,942,1701,1353,779,711,42,16,4.5
HH01,28,532,4325,0,Sub-district - Neradigonda,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4326,0,Sub-district - Sirpur,Total,5724,25065,242,707,974,1172,1142,801,667,15,4,4.4
HH01,28,532,4326,0,Sub-district - Sirpur,Rural,5724,25065,242,707,974,1172,1142,801,667,15,4,4.4
HH01,28,532,4326,0,Sub-district - Sirpur,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4327,0,Sub-district - Rebbana,Total,8765,35779,435,1106,1467,2557,1763,824,588,24,1,4.1
HH01,28,532,4327,0,Sub-district - Rebbana,Rural,8765,35779,435,1106,1467,2557,1763,824,588,24,1,4.1
HH01,28,532,4327,0,Sub-district - Rebbana,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4328,0,Sub-district - Bhimini,Total,6790,26256,415,1139,1166,1833,1266,602,359,10,0,3.9
HH01,28,532,4328,0,Sub-district - Bhimini,Rural,6790,26256,415,1139,1166,1833,1266,602,359,10,0,3.9
HH01,28,532,4328,0,Sub-district - Bhimini,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4329,0,Sub-district - Dahegaon,Total,8724,34665,450,1350,1485,2338,1715,854,522,9,1,4
HH01,28,532,4329,0,Sub-district - Dahegaon,Rural,8724,34665,450,1350,1485,2338,1715,854,522,9,1,4
HH01,28,532,4329,0,Sub-district - Dahegaon,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4330,0,Sub-district - Vemanpalle,Total,5011,19093,292,897,913,1338,921,392,250,6,2,3.8
HH01,28,532,4330,0,Sub-district - Vemanpalle,Rural,5011,19093,292,897,913,1338,921,392,250,6,2,3.8
HH01,28,532,4330,0,Sub-district - Vemanpalle,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4331,0,Sub-district - Nennal,Total,6229,23453,463,1014,1096,1783,1115,483,270,5,0,3.8
HH01,28,532,4331,0,Sub-district - Nennal,Rural,6229,23453,463,1014,1096,1783,1115,483,270,5,0,3.8
HH01,28,532,4331,0,Sub-district - Nennal,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4332,0,Sub-district - Tandur,Total,8124,32011,479,1110,1367,2560,1506,608,480,10,4,3.9
HH01,28,532,4332,0,Sub-district - Tandur,Rural,8124,32011,479,1110,1367,2560,1506,608,480,10,4,3.9
HH01,28,532,4332,0,Sub-district - Tandur,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4333,0,Sub-district - Tiryani,Total,6479,26186,390,990,1191,1517,1153,707,496,25,10,4
HH01,28,532,4333,0,Sub-district - Tiryani,Rural,6479,26186,390,990,1191,1517,1153,707,496,25,10,4
HH01,28,532,4333,0,Sub-district - Tiryani,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4334,0,Sub-district - Jannaram,Total,13642,52685,881,1993,2432,4075,2498,1097,637,25,4,3.9
HH01,28,532,4334,0,Sub-district - Jannaram,Rural,13642,52685,881,1993,2432,4075,2498,1097,637,25,4,3.9
HH01,28,532,4334,0,Sub-district - Jannaram,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4335,0,Sub-district - Kaddam (Peddur),Total,12958,52394,691,1842,2137,3563,2593,1221,865,44,2,4
HH01,28,532,4335,0,Sub-district - Kaddam (Peddur),Rural,12958,52394,691,1842,2137,3563,2593,1221,865,44,2,4
HH01,28,532,4335,0,Sub-district - Kaddam (Peddur),Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4336,0,Sub-district - Sarangapur,Total,11375,47572,629,1405,1923,2938,2270,1175,971,53,11,4.2
HH01,28,532,4336,0,Sub-district - Sarangapur,Rural,11375,47572,629,1405,1923,2938,2270,1175,971,53,11,4.2
HH01,28,532,4336,0,Sub-district - Sarangapur,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4337,0,Sub-district - Kuntala,Total,8261,34065,427,1066,1361,2280,1639,850,602,31,5,4.1
HH01,28,532,4337,0,Sub-district - Kuntala,Rural,8261,34065,427,1066,1361,2280,1639,850,602,31,5,4.1
HH01,28,532,4337,0,Sub-district - Kuntala,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4338,0,Sub-district - Kubeer,Total,10447,47546,378,1083,1397,2444,2474,1351,1221,81,18,4.6
HH01,28,532,4338,0,Sub-district - Kubeer,Rural,10447,47546,378,1083,1397,2444,2474,1351,1221,81,18,4.6
HH01,28,532,4338,0,Sub-district - Kubeer,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4339,0,Sub-district - Bhainsa,Total,19755,88303,823,2001,2776,5107,4189,2429,2291,110,29,4.5
HH01,28,532,4339,0,Sub-district - Bhainsa,Rural,9288,39523,493,1040,1437,2511,1940,987,826,45,9,4.3
HH01,28,532,4339,0,Sub-district - Bhainsa,Urban,10467,48780,330,961,1339,2596,2249,1442,1465,65,20,4.7
HH01,28,532,4340,0,Sub-district - Tanoor,Total,8300,39477,247,724,972,2000,1910,1204,1133,90,20,4.8
HH01,28,532,4340,0,Sub-district - Tanoor,Rural,8300,39477,247,724,972,2000,1910,1204,1133,90,20,4.8
HH01,28,532,4340,0,Sub-district - Tanoor,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4341,0,Sub-district - Mudhole,Total,12775,55591,549,1481,1898,3445,2565,1493,1246,78,20,4.4
HH01,28,532,4341,0,Sub-district - Mudhole,Rural,12775,55591,549,1481,1898,3445,2565,1493,1246,78,20,4.4
HH01,28,532,4341,0,Sub-district - Mudhole,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4342,0,Sub-district - Lokeswaram,Total,8637,34200,540,1238,1463,2455,1594,792,536,15,4,4
HH01,28,532,4342,0,Sub-district - Lokeswaram,Rural,8637,34200,540,1238,1463,2455,1594,792,536,15,4,4
HH01,28,532,4342,0,Sub-district - Lokeswaram,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4343,0,Sub-district - Dilawarpur,Total,8851,35565,579,1200,1465,2537,1654,753,617,40,6,4
HH01,28,532,4343,0,Sub-district - Dilawarpur,Rural,8851,35565,579,1200,1465,2537,1654,753,617,40,6,4
HH01,28,532,4343,0,Sub-district - Dilawarpur,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4344,0,Sub-district - Nirmal,Total,32017,138045,1313,3630,5165,9154,6267,3221,2955,254,58,4.3
HH01,28,532,4344,0,Sub-district - Nirmal,Rural,12798,50205,788,1850,2357,3617,2294,1100,750,39,3,3.9
HH01,28,532,4344,0,Sub-district - Nirmal,Urban,19219,87840,525,1780,2808,5537,3973,2121,2205,215,55,4.6
HH01,28,532,4345,0,Sub-district - Laxmanchanda,Total,9401,36636,577,1400,1668,2696,1802,751,479,23,5,3.9
HH01,28,532,4345,0,Sub-district - Laxmanchanda,Rural,9401,36636,577,1400,1668,2696,1802,751,479,23,5,3.9
HH01,28,532,4345,0,Sub-district - Laxmanchanda,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4346,0,Sub-district - Mamda,Total,7626,31543,434,975,1321,2012,1437,751,657,35,4,4.1
HH01,28,532,4346,0,Sub-district - Mamda,Rural,7626,31543,434,975,1321,2012,1437,751,657,35,4,4.1
HH01,28,532,4346,0,Sub-district - Mamda,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4347,0,Sub-district - Khanapur,Total,14598,61234,673,1786,2415,4049,2942,1465,1183,69,16,4.2
HH01,28,532,4347,0,Sub-district - Khanapur,Rural,11573,48057,529,1453,1951,3207,2357,1125,907,37,7,4.2
HH01,28,532,4347,0,Sub-district - Khanapur,Urban,3025,13177,144,333,464,842,585,340,276,32,9,4.4
HH01,28,532,4348,0,Sub-district - Dandepalle,Total,13437,49468,1047,2339,2244,4194,2223,887,485,16,2,3.7
HH01,28,532,4348,0,Sub-district - Dandepalle,Rural,13437,49468,1047,2339,2244,4194,2223,887,485,16,2,3.7
HH01,28,532,4348,0,Sub-district - Dandepalle,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4349,0,Sub-district - Kasipet,Total,8539,32330,481,1422,1551,2590,1515,630,341,9,0,3.8
HH01,28,532,4349,0,Sub-district - Kasipet,Rural,4166,15787,259,735,730,1169,740,346,180,7,0,3.8
HH01,28,532,4349,0,Sub-district - Kasipet,Urban,4373,16543,222,687,821,1421,775,284,161,2,0,3.8
HH01,28,532,4350,0,Sub-district - Bellampalle,Total,20535,80446,1093,2833,3519,6554,3974,1539,991,28,4,3.9
HH01,28,532,4350,0,Sub-district - Bellampalle,Rural,7207,26876,422,1177,1347,2307,1259,446,245,4,0,3.7
HH01,28,532,4350,0,Sub-district - Bellampalle,Urban,13328,53570,671,1656,2172,4247,2715,1093,746,24,4,4
HH01,28,532,4351,0,Sub-district - Kotapalle,Total,8641,33051,537,1526,1476,2353,1585,727,422,12,3,3.8
HH01,28,532,4351,0,Sub-district - Kotapalle,Rural,8641,33051,537,1526,1476,2353,1585,727,422,12,3,3.8
HH01,28,532,4351,0,Sub-district - Kotapalle,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4352,0,Sub-district - Mandamarri,Total,24491,98836,954,2840,4257,8329,4775,2022,1266,43,5,4
HH01,28,532,4352,0,Sub-district - Mandamarri,Rural,4038,15266,286,571,721,1318,709,278,149,6,0,3.8
HH01,28,532,4352,0,Sub-district - Mandamarri,Urban,20453,83570,668,2269,3536,7011,4066,1744,1117,37,5,4.1
HH01,28,532,4353,0,Sub-district - Luxettipet,Total,13409,49870,968,2144,2350,4389,2200,837,504,13,4,3.7
HH01,28,532,4353,0,Sub-district - Luxettipet,Rural,10664,39025,823,1770,1853,3519,1719,625,347,7,1,3.7
HH01,28,532,4353,0,Sub-district - Luxettipet,Urban,2745,10845,145,374,497,870,481,212,157,6,3,4
HH01,28,532,4354,0,Sub-district - Mancherial,Total,48343,193960,1800,5618,8428,17342,9100,3609,2328,96,22,4
HH01,28,532,4354,0,Sub-district - Mancherial,Rural,8549,31573,681,1331,1469,2806,1433,544,275,9,1,3.7
HH01,28,532,4354,0,Sub-district - Mancherial,Urban,39794,162387,1119,4287,6959,14536,7667,3065,2053,87,21,4.1
HH01,28,532,4355,0,Sub-district - Jaipur,Total,13291,49314,952,2289,2378,4076,2093,960,529,13,1,3.7
HH01,28,532,4355,0,Sub-district - Jaipur,Rural,13291,49314,952,2289,2378,4076,2093,960,529,13,1,3.7
HH01,28,532,4355,0,Sub-district - Jaipur,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,532,4356,0,Sub-district - Chennur,Total,14202,54539,920,2198,2567,4241,2440,1073,734,24,5,3.8
HH01,28,532,4356,0,Sub-district - Chennur,Rural,8293,31090,571,1398,1515,2423,1395,622,362,7,0,3.7
HH01,28,532,4356,0,Sub-district - Chennur,Urban,5909,23449,349,800,1052,1818,1045,451,372,17,5,4
HH01,28,533,0,0,District - Nizamabad,Total,590666,2522688,25259,66767,93488,166627,121457,63406,49785,3121,756,4.3
HH01,28,533,0,0,District - Nizamabad,Rural,463537,1940713,21629,55544,75660,130819,93862,47807,35904,1897,415,4.2
HH01,28,533,0,0,District - Nizamabad,Urban,127129,581975,3630,11223,17828,35808,27595,15599,13881,1224,341,4.6
HH01,28,533,4357,0,Sub-district - Ranjal,Total,9055,38588,413,1098,1445,2340,1893,1005,810,41,10,4.3
HH01,28,533,4357,0,Sub-district - Ranjal,Rural,9055,38588,413,1098,1445,2340,1893,1005,810,41,10,4.3
HH01,28,533,4357,0,Sub-district - Ranjal,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4358,0,Sub-district - Navipet,Total,13246,54774,676,1696,2235,3696,2552,1280,1037,68,6,4.1
HH01,28,533,4358,0,Sub-district - Navipet,Rural,13246,54774,676,1696,2235,3696,2552,1280,1037,68,6,4.1
HH01,28,533,4358,0,Sub-district - Navipet,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4359,0,Sub-district - Nandipet,Total,18342,70187,1248,2704,3375,5411,3327,1433,810,26,8,3.8
HH01,28,533,4359,0,Sub-district - Nandipet,Rural,18342,70187,1248,2704,3375,5411,3327,1433,810,26,8,3.8
HH01,28,533,4359,0,Sub-district - Nandipet,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4360,0,Sub-district - Armur,Total,29885,121013,1643,3803,4740,9099,5874,2804,1829,82,11,4
HH01,28,533,4360,0,Sub-district - Armur,Rural,14861,57230,1028,2196,2532,4470,2640,1248,729,18,0,3.9
HH01,28,533,4360,0,Sub-district - Armur,Urban,15024,63783,615,1607,2208,4629,3234,1556,1100,64,11,4.2
HH01,28,533,4361,0,Sub-district - Balkonda,Total,19863,79029,1217,2708,3422,5788,3671,1774,1212,63,8,4
HH01,28,533,4361,0,Sub-district - Balkonda,Rural,18377,72806,1119,2524,3205,5383,3384,1607,1099,50,6,4
HH01,28,533,4361,0,Sub-district - Balkonda,Urban,1486,6223,98,184,217,405,287,167,113,13,2,4.2
HH01,28,533,4362,0,Sub-district - Mortad,Total,14232,55956,1053,2043,2292,4020,2602,1329,861,23,9,3.9
HH01,28,533,4362,0,Sub-district - Mortad,Rural,14232,55956,1053,2043,2292,4020,2602,1329,861,23,9,3.9
HH01,28,533,4362,0,Sub-district - Mortad,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4363,0,Sub-district - Kammarpalle,Total,10655,42187,697,1526,1670,3048,2042,1033,622,16,1,4
HH01,28,533,4363,0,Sub-district - Kammarpalle,Rural,10655,42187,697,1526,1670,3048,2042,1033,622,16,1,4
HH01,28,533,4363,0,Sub-district - Kammarpalle,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4364,0,Sub-district - Bheemgal,Total,14915,62311,844,1823,2196,4007,3219,1591,1182,44,9,4.2
HH01,28,533,4364,0,Sub-district - Bheemgal,Rural,14915,62311,844,1823,2196,4007,3219,1591,1182,44,9,4.2
HH01,28,533,4364,0,Sub-district - Bheemgal,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4365,0,Sub-district - Velpur,Total,10524,42295,639,1363,1698,3076,2070,1033,620,22,3,4
HH01,28,533,4365,0,Sub-district - Velpur,Rural,10524,42295,639,1363,1698,3076,2070,1033,620,22,3,4
HH01,28,533,4365,0,Sub-district - Velpur,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4366,0,Sub-district - Jakranpalle,Total,11151,45279,631,1402,1742,3290,2311,1027,717,27,4,4.1
HH01,28,533,4366,0,Sub-district - Jakranpalle,Rural,11151,45279,631,1402,1742,3290,2311,1027,717,27,4,4.1
HH01,28,533,4366,0,Sub-district - Jakranpalle,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4367,0,Sub-district - Makloor,Total,14462,57905,775,1897,2609,4176,2772,1341,853,35,4,4
HH01,28,533,4367,0,Sub-district - Makloor,Rural,14462,57905,775,1897,2609,4176,2772,1341,853,35,4,4
HH01,28,533,4367,0,Sub-district - Makloor,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4368,0,Sub-district - Nizamabad,Total,89191,408005,2514,8012,12983,24716,19134,10775,9924,897,236,4.6
HH01,28,533,4368,0,Sub-district - Nizamabad,Rural,22785,97648,806,2452,3854,6612,4647,2380,1875,133,26,4.3
HH01,28,533,4368,0,Sub-district - Nizamabad,Urban,66406,310357,1708,5560,9129,18104,14487,8395,8049,764,210,4.7
HH01,28,533,4369,0,Sub-district - Yedpalle,Total,9351,39673,373,1086,1536,2577,1929,1065,735,44,6,4.2
HH01,28,533,4369,0,Sub-district - Yedpalle,Rural,9351,39673,373,1086,1536,2577,1929,1065,735,44,6,4.2
HH01,28,533,4369,0,Sub-district - Yedpalle,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4370,0,Sub-district - Bodhan,Total,32182,141988,1315,3456,4781,8763,6576,3765,3206,246,74,4.4
HH01,28,533,4370,0,Sub-district - Bodhan,Rural,16082,65735,849,2123,2695,4629,3053,1548,1088,85,12,4.1
HH01,28,533,4370,0,Sub-district - Bodhan,Urban,16100,76253,466,1333,2086,4134,3523,2217,2118,161,62,4.7
HH01,28,533,4371,0,Sub-district - Kotgiri,Total,13690,56685,574,1775,2398,3769,2676,1456,987,47,8,4.1
HH01,28,533,4371,0,Sub-district - Kotgiri,Rural,13690,56685,574,1775,2398,3769,2676,1456,987,47,8,4.1
HH01,28,533,4371,0,Sub-district - Kotgiri,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4372,0,Sub-district - Madnoor,Total,12458,58766,306,1115,1614,3102,2827,1711,1613,134,36,4.7
HH01,28,533,4372,0,Sub-district - Madnoor,Rural,12458,58766,306,1115,1614,3102,2827,1711,1613,134,36,4.7
HH01,28,533,4372,0,Sub-district - Madnoor,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4373,0,Sub-district - Jukkal,Total,11189,52742,259,1000,1455,2616,2655,1616,1470,91,27,4.7
HH01,28,533,4373,0,Sub-district - Jukkal,Rural,11189,52742,259,1000,1455,2616,2655,1616,1470,91,27,4.7
HH01,28,533,4373,0,Sub-district - Jukkal,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4374,0,Sub-district - Bichkunda,Total,13903,63644,389,1329,2054,3638,3041,1751,1513,128,60,4.6
HH01,28,533,4374,0,Sub-district - Bichkunda,Rural,13903,63644,389,1329,2054,3638,3041,1751,1513,128,60,4.6
HH01,28,533,4374,0,Sub-district - Bichkunda,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4375,0,Sub-district - Birkoor,Total,12094,50336,492,1481,2082,3445,2422,1232,886,44,10,4.2
HH01,28,533,4375,0,Sub-district - Birkoor,Rural,12094,50336,492,1481,2082,3445,2422,1232,886,44,10,4.2
HH01,28,533,4375,0,Sub-district - Birkoor,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4376,0,Sub-district - Varni,Total,17627,71900,869,2334,2954,5072,3409,1690,1251,45,3,4.1
HH01,28,533,4376,0,Sub-district - Varni,Rural,17627,71900,869,2334,2954,5072,3409,1690,1251,45,3,4.1
HH01,28,533,4376,0,Sub-district - Varni,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4377,0,Sub-district - Dichpalle,Total,17392,74693,763,1897,2733,4701,3760,1899,1553,72,14,4.3
HH01,28,533,4377,0,Sub-district - Dichpalle,Rural,16197,69550,726,1791,2526,4325,3511,1781,1458,67,12,4.3
HH01,28,533,4377,0,Sub-district - Dichpalle,Urban,1195,5143,37,106,207,376,249,118,95,5,2,4.3
HH01,28,533,4378,0,Sub-district - Dharpalle,Total,11160,47620,539,1298,1695,2896,2391,1337,951,44,9,4.3
HH01,28,533,4378,0,Sub-district - Dharpalle,Rural,11160,47620,539,1298,1695,2896,2391,1337,951,44,9,4.3
HH01,28,533,4378,0,Sub-district - Dharpalle,Urban,0,0,0,0,0,0,0,0,0,0,0,0
HH01,28,533,4379,0,Sub-district - Sirkonda,Total,11915,50967,579,1361,1812,3151,2520,1308,1129,48,7,4.3
